 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
    709    3173  1064.18    4207.42  114.0027  22.7980   0.4188     144.4978
    709    3295  1081.33    4327.96  114.0261  22.7945   0.3117     171.8270
    709    3417  1098.47    4448.52  114.0495  22.7909   0.3164     -150.7443
    709    3539  1115.62    4569.10  114.0729  22.7874   0.4293     -124.5493
    709    3661  1132.78    4689.73  114.0963  22.7838   0.5914     -110.8821
    709    3783  1149.94    4810.40  114.1197  22.7803   0.7724     -103.3298
    709    3905  1167.12    4931.13  114.1431  22.7767   0.9618     -98.6887
    709    4027  1184.30    5051.93  114.1665  22.7732   1.1554     -95.5834
    709    4149  1201.49    5172.80  114.1900  22.7696   1.3515     -93.3704
    709    4271  1218.70    5293.77  114.2134  22.7660   1.5493     -91.7169
    709    4393  1235.91    5414.83  114.2369  22.7624   1.7481     -90.4356
    709    4515  1253.15    5535.99  114.2604  22.7588   1.9478     -89.4140
    709    4637  1270.40    5657.28  114.2839  22.7552   2.1482     -88.5802
    709    4759  1287.67    5778.69  114.3074  22.7516   2.3490     -87.8867
    709    4881  1304.96    5900.24  114.3310  22.7480   2.5503     -87.3006
    709    5003  1322.27    6021.94  114.3546  22.7444   2.7520     -86.7984
    709    5125  1339.60    6143.79  114.3782  22.7408   2.9541     -86.3632
    709    5247  1356.96    6265.82  114.4019  22.7372   3.1566     -85.9822
    709    5369  1374.34    6388.01  114.4255  22.7335   3.3594     -85.6456
    709    5491  1391.75    6510.40  114.4492  22.7299   3.5625     -85.3460
    709    5613  1409.19    6632.98  114.4730  22.7262   3.7660     -85.0774
    709    5735  1426.65    6755.77  114.4968  22.7225   3.9697     -84.8350
    709    5857  1444.15    6878.78  114.5206  22.7188   4.1738     -84.6152
    709    6000  1464.70    7023.25  114.5486  22.7145   4.4135     -84.3819
    827       1  730.54    1023.49  113.3840  22.8687   5.5719     102.0760
    827     123  748.12    1147.05  113.4080  22.8652   5.3672     102.2023
    827     245  765.66    1270.38  113.4319  22.8616   5.1627     102.3377
    827     367  783.17    1393.47  113.4559  22.8581   4.9586     102.4832
    827     489  800.65    1516.35  113.4797  22.8546   4.7547     102.6402
    827     611  818.10    1639.01  113.5036  22.8511   4.5512     102.8102
    827     733  835.52    1761.47  113.5274  22.8475   4.3479     102.9950
    827     855  852.91    1883.73  113.5511  22.8440   4.1449     103.1967
    827     977  870.28    2005.82  113.5748  22.8405   3.9421     103.4180
    827    1099  887.62    2127.74  113.5985  22.8370   3.7397     103.6620
    827    1221  904.94    2249.49  113.6222  22.8335   3.5375     103.9325
    827    1343  922.24    2371.09  113.6458  22.8300   3.3355     104.2344
    827    1465  939.52    2492.55  113.6694  22.8264   3.1338     104.5737
    827    1587  956.78    2613.88  113.6929  22.8229   2.9324     104.9581
    827    1709  974.02    2735.09  113.7165  22.8194   2.7313     105.3974
    827    1831  991.24    2856.19  113.7400  22.8159   2.5305     105.9046
    827    1953  1008.46    2977.19  113.7635  22.8124   2.3300     106.4972
    827    2075  1025.66    3098.09  113.7869  22.8089   2.1299     107.1992
    827    2197  1042.84    3218.91  113.8104  22.8054   1.9303     108.0442
    827    2319  1060.02    3339.67  113.8338  22.8018   1.7313     109.0811
    827    2441  1077.19    3460.36  113.8572  22.7983   1.5331     110.3840
    827    2563  1094.35    3581.00  113.8807  22.7948   1.3359     112.0693
    827    2685  1111.51    3701.59  113.9041  22.7913   1.1403     114.3317
    827    2807  1128.66    3822.16  113.9275  22.7878   0.9472     117.5189
    827    2929  1145.81    3942.70  113.9509  22.7842   0.7585     122.3080
    827    3051  1162.95    4063.24  113.9742  22.7807   0.5786     130.1572
    827    3173  1180.10    4183.77  113.9976  22.7772   0.4187     144.4738
    827    3295  1197.25    4304.30  114.0210  22.7736   0.3115     171.8067
    827    3417  1214.40    4424.86  114.0444  22.7701   0.3162     -150.7427
    827    3539  1231.55    4545.45  114.0678  22.7666   0.4291     -124.5375
    827    3661  1248.71    4666.07  114.0912  22.7630   0.5913     -110.8703
    827    3783  1265.88    4786.74  114.1146  22.7595   0.7723     -103.3199
